zip_code,min_medicare_pricing_for_new_patient,max_medicare_pricing_for_new_patient,mode_medicare_pricing_for_new_patient,min_copay_for_new_patient,max_copay_for_new_patient,mode_copay_for_new_patient,most_utilized_procedure_code_for_new_patient,min_medicare_pricing_for_established_patient,max_medicare_pricing_for_established_patient,mode_medicare_pricing_for_established_patient,min_copay_for_established_patient,max_copay_for_established_patient,mode_copay_for_established_patient,most_utilized_procedure_code_for_established_patient
00909,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00910,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00911,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00912,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00913,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00914,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00915,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00916,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00917,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00918,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00919,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00920,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00921,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00922,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00923,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00924,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00925,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00926,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00927,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00928,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00929,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00930,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00931,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00933,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00934,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00935,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00936,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00937,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00938,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00939,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00940,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00949,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00950,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00951,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00952,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00953,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00954,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00955,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00956,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00957,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00958,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00959,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00960,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00961,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00962,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00963,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00965,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00966,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00968,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00969,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00970,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00971,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00975,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00976,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00977,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00978,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00979,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00981,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00982,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
01001,58.864,177.368,177.368,14.716,44.342,44.342,99205,19.112,144.84,144.84,4.778,36.21,36.21,99215
01002,58.864,177.368,177.368,14.716,44.342,44.342,99205,19.112,144.84,144.84,4.778,36.21,36.21,99215
01003,58.864,177.368,177.368,14.716,44.342,44.342,99205,19.112,144.84,144.84,4.778,36.21,36.21,99215
01004,58.864,177.368,177.368,14.716,44.342,44.342,99205,19.112,144.84,144.84,4.778,36.21,36.21,99215
00983,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00984,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00985,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00986,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00987,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00988,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
01005,58.864,177.368,177.368,14.716,44.342,44.342,99205,19.112,144.84,144.84,4.778,36.21,36.21,99215
01007,58.864,177.368,177.368,14.716,44.342,44.342,99205,19.112,144.84,144.84,4.778,36.21,36.21,99215
01008,58.864,177.368,177.368,14.716,44.342,44.342,99205,19.112,144.84,144.84,4.778,36.21,36.21,99215
01009,58.864,177.368,177.368,14.716,44.342,44.342,99205,19.112,144.84,144.84,4.778,36.21,36.21,99215
01010,58.864,177.368,177.368,14.716,44.342,44.342,99205,19.112,144.84,144.84,4.778,36.21,36.21,99215
01011,58.864,177.368,177.368,14.716,44.342,44.342,99205,19.112,144.84,144.84,4.778,36.21,36.21,99215
01012,58.864,177.368,177.368,14.716,44.342,44.342,99205,19.112,144.84,144.84,4.778,36.21,36.21,99215
01013,58.864,177.368,177.368,14.716,44.342,44.342,99205,19.112,144.84,144.84,4.778,36.21,36.21,99215
01014,58.864,177.368,177.368,14.716,44.342,44.342,99205,19.112,144.84,144.84,4.778,36.21,36.21,99215
01020,58.864,177.368,177.368,14.716,44.342,44.342,99205,19.112,144.84,144.84,4.778,36.21,36.21,99215
01021,58.864,177.368,177.368,14.716,44.342,44.342,99205,19.112,144.84,144.84,4.778,36.21,36.21,99215
01022,58.864,177.368,177.368,14.716,44.342,44.342,99205,19.112,144.84,144.84,4.778,36.21,36.21,99215
01026,58.864,177.368,177.368,14.716,44.342,44.342,99205,19.112,144.84,144.84,4.778,36.21,36.21,99215
01027,58.864,177.368,177.368,14.716,44.342,44.342,99205,19.112,144.84,144.84,4.778,36.21,36.21,99215
01028,58.864,177.368,177.368,14.716,44.342,44.342,99205,19.112,144.84,144.84,4.778,36.21,36.21,99215
01029,58.864,177.368,177.368,14.716,44.342,44.342,99205,19.112,144.84,144.84,4.778,36.21,36.21,99215
01030,58.864,177.368,177.368,14.716,44.342,44.342,99205,19.112,144.84,144.84,4.778,36.21,36.21,99215
01031,58.864,177.368,177.368,14.716,44.342,44.342,99205,19.112,144.84,144.84,4.778,36.21,36.21,99215
01032,58.864,177.368,177.368,14.716,44.342,44.342,99205,19.112,144.84,144.84,4.778,36.21,36.21,99215
01033,58.864,177.368,177.368,14.716,44.342,44.342,99205,19.112,144.84,144.84,4.778,36.21,36.21,99215
